timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz]
2026/07/04 00:49:14.925, 0 %, 0 %, 48034 MiB, 73.63 W, 1800 MHz, 7600 MHz
2026/07/04 00:49:15.026, 0 %, 0 %, 48034 MiB, 73.63 W, 1800 MHz, 7600 MHz
2026/07/04 00:49:15.128, 0 %, 0 %, 48034 MiB, 73.63 W, 1800 MHz, 7600 MHz
2026/07/04 00:49:15.229, 0 %, 0 %, 48034 MiB, 73.63 W, 1800 MHz, 7600 MHz
2026/07/04 00:49:15.331, 0 %, 0 %, 48034 MiB, 73.63 W, 1800 MHz, 7600 MHz
2026/07/04 00:49:15.432, 0 %, 0 %, 48034 MiB, 73.63 W, 1800 MHz, 7600 MHz
2026/07/04 00:49:15.533, 0 %, 0 %, 48034 MiB, 73.63 W, 1800 MHz, 7600 MHz
2026/07/04 00:49:15.634, 0 %, 0 %, 48034 MiB, 73.63 W, 1800 MHz, 7600 MHz
2026/07/04 00:49:15.736, 0 %, 0 %, 48034 MiB, 73.12 W, 1800 MHz, 7600 MHz
2026/07/04 00:49:15.837, 0 %, 0 %, 48034 MiB, 73.12 W, 1800 MHz, 7600 MHz
2026/07/04 00:49:15.939, 0 %, 0 %, 48034 MiB, 73.12 W, 1800 MHz, 7600 MHz
2026/07/04 00:49:16.040, 0 %, 0 %, 48034 MiB, 73.12 W, 1800 MHz, 7600 MHz
2026/07/04 00:49:16.141, 0 %, 0 %, 48034 MiB, 73.12 W, 1800 MHz, 7600 MHz
2026/07/04 00:49:16.243, 0 %, 0 %, 48034 MiB, 73.12 W, 1800 MHz, 7600 MHz
2026/07/04 00:49:16.344, 0 %, 0 %, 48034 MiB, 73.12 W, 1800 MHz, 7600 MHz
2026/07/04 00:49:16.445, 0 %, 0 %, 48034 MiB, 73.12 W, 1800 MHz, 7600 MHz
2026/07/04 00:49:16.546, 0 %, 0 %, 48034 MiB, 73.12 W, 1800 MHz, 7600 MHz
2026/07/04 00:49:16.648, 0 %, 0 %, 48034 MiB, 73.12 W, 1800 MHz, 7600 MHz
2026/07/04 00:49:16.749, 0 %, 0 %, 48004 MiB, 73.09 W, 1800 MHz, 7600 MHz
2026/07/04 00:49:16.851, 0 %, 0 %, 48004 MiB, 74.83 W, 1800 MHz, 7600 MHz
2026/07/04 00:49:16.952, 22 %, 10 %, 48006 MiB, 76.97 W, 1800 MHz, 7600 MHz
2026/07/04 00:49:17.054, 22 %, 10 %, 48006 MiB, 77.87 W, 1800 MHz, 7600 MHz
2026/07/04 00:49:17.155, 7 %, 4 %, 48006 MiB, 77.61 W, 1800 MHz, 7600 MHz
2026/07/04 00:49:17.257, 7 %, 4 %, 48006 MiB, 77.32 W, 1800 MHz, 7600 MHz
2026/07/04 00:49:17.360, 0 %, 0 %, 48008 MiB, 77.09 W, 1800 MHz, 7600 MHz
2026/07/04 00:49:17.462, 0 %, 0 %, 48008 MiB, 76.87 W, 1800 MHz, 7600 MHz
2026/07/04 00:49:17.563, 0 %, 0 %, 48008 MiB, 76.68 W, 1800 MHz, 7600 MHz
2026/07/04 00:49:17.664, 0 %, 0 %, 48008 MiB, 76.85 W, 1800 MHz, 7600 MHz
2026/07/04 00:49:17.766, 22 %, 4 %, 48008 MiB, 77.54 W, 1800 MHz, 7600 MHz
2026/07/04 00:49:17.867, 22 %, 4 %, 48008 MiB, 82.81 W, 1800 MHz, 7600 MHz
2026/07/04 00:49:17.969, 33 %, 6 %, 48008 MiB, 82.72 W, 1800 MHz, 7600 MHz
2026/07/04 00:49:18.071, 33 %, 6 %, 48008 MiB, 82.04 W, 1800 MHz, 7600 MHz
2026/07/04 00:49:18.172, 23 %, 4 %, 48008 MiB, 81.35 W, 1800 MHz, 7600 MHz
2026/07/04 00:49:18.273, 23 %, 4 %, 48008 MiB, 81.29 W, 1800 MHz, 7600 MHz
2026/07/04 00:49:18.375, 0 %, 0 %, 48008 MiB, 81.28 W, 1800 MHz, 7600 MHz
2026/07/04 00:49:18.477, 0 %, 0 %, 48008 MiB, 81.29 W, 1800 MHz, 7600 MHz
2026/07/04 00:49:18.579, 0 %, 0 %, 48008 MiB, 81.31 W, 1800 MHz, 7600 MHz
2026/07/04 00:49:18.681, 0 %, 0 %, 48008 MiB, 84.02 W, 1800 MHz, 7600 MHz
2026/07/04 00:49:18.782, 26 %, 13 %, 48008 MiB, 86.12 W, 1800 MHz, 7600 MHz
2026/07/04 00:49:18.884, 26 %, 13 %, 48008 MiB, 84.67 W, 1800 MHz, 7600 MHz
2026/07/04 00:49:18.986, 0 %, 0 %, 48008 MiB, 83.08 W, 1800 MHz, 7600 MHz
2026/07/04 00:49:19.087, 0 %, 0 %, 48008 MiB, 81.52 W, 1800 MHz, 7600 MHz
2026/07/04 00:49:19.189, 27 %, 11 %, 48008 MiB, 83.88 W, 1800 MHz, 7600 MHz
2026/07/04 00:49:19.290, 27 %, 11 %, 48008 MiB, 84.44 W, 1800 MHz, 7600 MHz
2026/07/04 00:49:19.392, 4 %, 3 %, 48008 MiB, 84.46 W, 1800 MHz, 7600 MHz
