NDS SF100 per-table split size (MiB): where it started (baseline) and ended (autotuner)

query    table               baseline (MiB)  1GiB (MiB)  2GiB (MiB)
query22  inventory                       39         333         667
query79  store_sales                    128        3400        4096
query40  catalog_sales                   27        2101        4096
query40  catalog_returns                128        4096        4096
query58  store_sales                     37        1509        3019
query58  catalog_sales                    4        2366        4096
query58  web_sales                       35        4096        4096
query69  store_sales                    128        3397        4096
query69  catalog_sales                   40        4096        4096
query69  web_sales                      128        4096        4096
query18  catalog_sales                  128        2101        4096
query54  store_sales                    128        2270        4096
query54  catalog_sales                   13        4096        4096
query54  web_sales                      128        4096        4096
query71  store_sales                    128        3400        4096
query71  catalog_sales                   29        4096        4096
query71  web_sales                      128        4096        4096
query8   store_sales                    128        4096        4096
query33  store_sales                    128        2713        4096
query33  catalog_sales                   13        4096        4096
query33  web_sales                      128        4096        4096
query45  web_sales                      128        4096        4096
query60  store_sales                    128        4096        4096
query60  catalog_sales                   21        4096        4096
query60  web_sales                      128        4096        4096
query56  store_sales                    128        4096        4096
query56  catalog_sales                   13        4096        4096
query56  web_sales                      128        4096        4096
query73  store_sales                    128        3378        4096
query98  store_sales                    128        4096        4096
query19  store_sales                    128        1687        3375
query57  catalog_sales                  128        4096        4096
query61  store_sales                    128        4096        4096
query92  web_sales                      128        4096        4096
query83  store_returns                  106        4096        4096
query83  catalog_returns                 10        4096        4096
query83  web_returns                    105        4096        4096
query6   store_sales                    128        3399        4096
query3   store_sales                    128        3393        4096
query91  catalog_returns                 24        4096        4096
query32  catalog_sales                   41        2689        4096
query12  web_sales                      128        4096        4096
query37  catalog_sales                  128        4096        4096
query37  inventory                        6         266         532
query26  catalog_sales                  128        4096        4096
query20  catalog_sales                   14        4096        4096
query21  inventory                        6         266         532
query15  catalog_sales                   41        4096        4096
query55  store_sales                    128        4096        4096
query52  store_sales                    128        4096        4096
query42  store_sales                    128        2271        4096
